"Cluster","group","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Treatment","Treatment","Entoticcelldeath_GeneCards","Entoticcelldeath_GeneCards","2/100","3/3486",0.666666666666667,23.24,6.62180804857158,0.00239885995805023,0.00342132485820279,0.000620930101307221,"TP53/MAP1LC3A",2
"Treatment","Treatment","Immunogenic Cell Death_BLCA_38023241","Immunogenic Cell Death_BLCA_38023241","2/100","3/3486",0.666666666666667,23.24,6.62180804857158,0.00239885995805023,0.00342132485820279,0.000620930101307221,"HMGB1/TLR4",2
"Treatment","Treatment","Immunogenic Cell Death_LUAD_38171413","Immunogenic Cell Death_LUAD_38171413","2/100","3/3486",0.666666666666667,23.24,6.62180804857158,0.00239885995805023,0.00342132485820279,0.000620930101307221,"IFNG/TLR4",2
"Treatment","Treatment","PANoptosis_IPF_Prognosis_39515041","PANoptosis_IPF_Prognosis_39515041","2/100","4/3486",0.5,17.43,5.64951401090566,0.00470794692546463,0.00660631262121649,0.00119896780784328,"HIF1A/ATM",2
"Treatment","Treatment","Ferroptosis_HCC_Prognosis_38139032","Ferroptosis_HCC_Prognosis_38139032","4/100","25/3486",0.16,5.5776,3.94698030646991,0.00507305620936659,0.00700564905103006,0.00127144265898912,"TF/ALOX15/MAPK1/CDO1",4
"Treatment","Treatment","Disulfidptosis_Up_38035663","Disulfidptosis_Up_38035663","2/100","5/3486",0.4,13.944,4.97690566681543,0.00770007799869085,0.0101501028164561,0.00184212392313178,"G6PD/PGD",2
"Treatment","Treatment","Efferocytosis_BLCA_Prognosis_40481075","Efferocytosis_BLCA_Prognosis_40481075","2/100","5/3486",0.4,13.944,4.97690566681543,0.00770007799869085,0.0101501028164561,0.00184212392313178,"ALOX5/MAPK3",2
"Treatment","Treatment","Pyroptosis_Pan Cancer_36703967","Pyroptosis_Pan Cancer_36703967","2/100","5/3486",0.4,13.944,4.97690566681543,0.00770007799869085,0.0101501028164561,0.00184212392313178,"TP53/HMGB1",2
"Treatment","Treatment","Entosis_GeneCards","Entosis_GeneCards","2/100","6/3486",0.333333333333333,11.62,4.47371624206113,0.0113349456447424,0.0147185115088446,0.00267123620850174,"TP53/MAP1LC3A",2
"Treatment","Treatment","Ferroptosis_CRC_Prognosis_38774759","Ferroptosis_CRC_Prognosis_38774759","3/100","18/3486",0.166666666666667,5.81,3.51560196751312,0.0136656542611217,0.0174839988340822,0.0031731395343162,"NOX4/CDKN2A/HILPDA",3
"Treatment","Treatment","NETosis_PCa_39733640","NETosis_PCa_39733640","2/100","7/3486",0.285714285714286,9.96,4.07744141355659,0.0155739533616204,0.019356199178014,0.00351292181089183,"TNFAIP3/TLR4",2
"Treatment","Treatment","Pyroptosis_LUAD_37077542","Pyroptosis_LUAD_37077542","2/100","7/3486",0.285714285714286,9.96,4.07744141355659,0.0155739533616204,0.019356199178014,0.00351292181089183,"TP53/HMGB1",2
"Treatment","Treatment","Ferroptosis_IDD_36819777","Ferroptosis_IDD_36819777","4/100","40/3486",0.1,3.486,2.7172612640713,0.0264240559021186,0.0323787727251313,0.00587636528586774,"EMC2/CARS1/ATF3/ATM",4
"Treatment","Treatment","Autophagy_HCC_40514326","Autophagy_HCC_40514326","2/100","10/3486",0.2,6.972,3.2496592874851,0.0315542005832405,0.0381279923714156,0.00691978082965801,"MAPK3/CDKN2A",2
